id,eventName,title,duration,unit,order,points,prerequisites,content_overview,content_objectives,content_resources,validationType,problems,systemPrompt,createdAt
0Uz5ROVE54EbMzYZrQ7u,Dynamic Planet,Module 7 - Plate Tectonics and Marine Geology,45 min,Unit 3,7,10,[],Evrything u need to nou bout plates and marine gology,"[""Basic information about tectonic plates"", ""Understand the mechanism of plate tectonics"", ""Identify and describe the three plate boundaries and their characteristics"", ""Name marine topographic features surrounding plate tectonics"", ""Understand seafloor spreading"", ""Understand the trend in the age of the oceanic crust with respect to mid-ocean ridges"", ""Know what the Ring of Fire and the Mariana Trench are""]","[{""title"": ""Mod 7"", ""type"": ""reading"", ""description"": ""https://docs.google.com/document/d/1uXqAV-SuHImt3RT8iCA6hUZ4xPEXNiQsAgeoUEq7M2E/edit?tab=t.0"", ""url"": ""https://docs.google.com/document/d/1uXqAV-SuHImt3RT8iCA6hUZ4xPEXNiQsAgeoUEq7M2E/edit?tab=t.0""}, {""title"": ""Bald guy lecture (optional)"", ""type"": ""video"", ""description"": ""https://www.youtube.com/watch?v=SVLqaSa1bxU&list=PLOMMpqItRwQna8TRhb8KHjjD3zoZp-a1j&index=4"", ""url"": ""https://www.youtube.com/watch?v=SVLqaSa1bxU&list=PLOMMpqItRwQna8TRhb8KHjjD3zoZp-a1j&index=4""}]",problems,"[""What are geological hotspots and how do they form seamounts? In what ways are they related to volcanic activities?"", ""Explain how fracture zones are formed and how they are different from transform plate boundaries."", ""Does higher density cause a plate to sink beneath the other? What two factors determine the density? "", ""What is the ring of fire? Why is there so much activity here? ""]",,2025-07-23T00:50:21.681000+00:00
0fKWActAmVbeofbRV3y0,Materials Science,Introduction to Nanoscience,30 min,Unit 1,1,10,[],Explore the fundamental principles of nanoscience and discover how quantum effects and fluctuations emerge at the nanoscale.,"[""- Define nanoscience and its relevance"", ""- Understand the importance of size scale"", ""- Recognize key historical milestones in nanoscience"", ""- Identify basic quantum effects in small systems"", ""- Understand the role of fluctuations at the nanoscale""]","[{""title"": ""Nanoscience 1: What is Nanoscience?"", ""type"": ""reading"", ""description"": ""Select chapter from Introduction to Nanoscience - S.M. Lindsay (Oxford)"", ""url"": ""https://drive.google.com/file/d/1Ygl4L4utsEN848IBx6_S8gAzw8XXibjm/view?usp=drive_link""}, {""title"": ""Richard Feynman Intro"", ""type"": ""video"", ""description"": ""(Optional) Richard Feynman laid the groundwork for modern nanotechnology."", ""url"": ""https://www.youtube.com/watch?v=eKj5lAmy9Wk&t=109s""}]",none,"[""Upload notes for Nanomaterials textbook chapter.""]",,2025-07-20T22:05:05.581000+00:00
0nGRDCAfrR8wxOpiWVDL,Designer Genes,Gene to Protein Relationship,30 min,Unit 1,2,25,[],"This module goes into the components of a gene and the process of how DNA contributes to protein synthesis (transcription, translation)","[""Transcription"", ""RNA processing"", ""Translation"", ""Central Dogma of Biology "", ""Reading codons""]","[{""title"": ""Module 2 Doc"", ""type"": ""reading"", ""description"": ""Gives notes and tasks"", ""url"": ""https://docs.google.com/document/d/1s-JQwru7ZGd1lRbG2fhx4EW_6grd2zSwEle1updIiXc/edit?tab=t.0""}]",problems,"[""What is the relationship between DNA and RNA during transcription?"", ""What regions of the pre-mRNA are not modified?"", ""What is the function of tRNA and the different sites on the ribosome?"", ""Describe the general idea of the Central Dogma.""]",,2025-07-18T22:03:45.628000+00:00
0rUlFdlVwQR7uvpSfAAE,Forensics,Powders,20 min,Unit 1,1,10,[],,"[""How to identify unknown powders"", ""How to connect these powders back to the suspects""]","[{""title"": ""Powder Notes"", ""type"": ""reading"", ""description"": """", ""url"": ""https://docs.google.com/document/d/1ZJvNz3PHMTzikqusbDc4xNHX_FvTUAp42LU49YOPrLU/edit?tab=t.0""}, {""title"": ""Practice"", ""type"": ""interactive"", ""description"": """", ""url"": ""https://docs.google.com/document/d/1ZJvNz3PHMTzikqusbDc4xNHX_FvTUAp42LU49YOPrLU/edit?tab=t.sgqi20dnzylk#heading=h.cvb0wlrme40o""}]",none,[],,2025-07-20T20:13:52.268000+00:00
1Q6vRej3ew6fAJlCsooZ,Anatomy and Physiology,Effect of Drugs on the Nervous System,10 min,Unit 1- Nervous System,4,10,[],This module goes into how drugs alter and affect the brain and the nervous system,"[""Mechanism of how drugs affect specific components of the brain "", ""Alcohol, caffeine, nicotine, and marijuana's effect on the nervous system""]","[{""title"": ""Module 4 Doc"", ""type"": ""reading"", ""description"": ""Gives some notes"", ""url"": ""https://docs.google.com/document/d/10d5ciP6klQomyq_L5Gms2GOplS5X7ZvpDEx64xwCMbw/edit?tab=t.0""}, {""title"": ""Drugs, Brains, and Behavior: The Science of Addiction"", ""type"": ""reading"", ""description"": ""describes what parts of the brain drugs affect and how it can lead to addiction "", ""url"": ""https://nida.nih.gov/publications/drugs-brains-behavior-science-addiction/drugs-brain""}]",none,[],,2025-08-03T16:03:42.776000+00:00
1jHW2bLAwfO0bHL8bkuH,Dynamic Planet,Module 2 - Circulation,35 min,Unit 1,2,10,[],"This module covers concepts relating to circulation within the ocean. These topics include deep ocean circulation, ocean overturning, water masses, and Ekman/geostrophic balance. ","[""What deep ocean circulation is (terms like thermocline and downwelling). "", ""The Atlantic Meridional Overturning System."", ""The Global Meridional Overturning Circulation. "", ""What water masses are. "", ""The Ekman spiral (relating to the Coriolis effect/what determines which direction water spirals down) "", ""Ekman suction and pumping. "", ""What a geostrophic current is. ""]","[{""title"": ""Module 2 (Use bxsci)"", ""type"": ""reading"", ""description"": ""https://docs.google.com/document/d/1JjZzVn7mGgcTweQpUF0W4Vcp4HJreU-FYXy1batYF9E/edit?usp=sharing"", ""url"": ""https://docs.google.com/document/d/1JjZzVn7mGgcTweQpUF0W4Vcp4HJreU-FYXy1batYF9E/edit?usp=sharing""}, {""title"": ""Bald guy video (Optional)"", ""type"": ""video"", ""description"": ""https://www.youtube.com/watch?v=32TQdFJKIlI&list=PLOMMpqItRwQna8TRhb8KHjjD3zoZp-a1j&index=8"", ""url"": ""https://www.youtube.com/watch?v=32TQdFJKIlI&list=PLOMMpqItRwQna8TRhb8KHjjD3zoZp-a1j&index=8""}]",problems,"[""What are deep water masses and how/where do they form? "", ""How do the causes of downwelling work? Include how winds affect the causes and relate to densities. "", ""Explain why high pressure is always to the right of the direction of flow in the Northern hemisphere, in terms of the Coriolis effect."", ""How does a gust of ocean wind blowing perpendicularly northwards, away from the equator, affect the movement of surface water, assuming it lies on the trajectory of the wind?""]",,2025-07-17T03:14:37.952000+00:00
2Uthg6tXNAFpM8Rm5gnb,Remote Sensing,Introduction to Remote Sensing,40,Fundamentals of Remote Sensing ,1,10,[],"This module covers the basics of Remote Sensing, from the different types of orbits that satellites take to basic wave physics!","[""1) What remote sensing is about"", ""2) Different types of orbits that remote sensing satellites have"", ""3) Wave Physics"", ""4) The Electromagnetic Spectrum""]","[{""title"": ""Remote Sensing Introduction [Lesson 1]"", ""type"": ""reading"", ""description"": ""Use BXSCI email to access!"", ""url"": ""https://docs.google.com/document/d/1eFj2n_0MRAspYNMhwbehfK_4Q1RtVkTCSwh2WfPgnd4/edit?tab=t.0""}]",notesUpload,[],,2025-07-21T04:11:38.238000+00:00
6Jur6YeVLeuRSZMk4xqT,Circuit Lab,Electric Charge & Field,,Unit 2,4,30,[],Students will explore electric charge and the behavior of charged objects and understand how electric fields influence forces. ,"[""Understand electric charge and its properties"", ""Describe how electric fields affect charges"", ""Explore the relationship between electricity and magnetism""]","[{""title"": ""Learn Coulombs Law "", ""type"": ""reading"", ""description"": """", ""url"": ""https://byjus.com/jee/coulombs-law/""}, {""title"": ""Explore More about Coulombs Law"", ""type"": ""interactive"", ""description"": """", ""url"": ""https://phet.colorado.edu/sims/html/coulombs-law/latest/coulombs-law_en.html""}, {""title"": ""Electric Charge & Field"", ""type"": ""video"", ""description"": """", ""url"": ""https://youtu.be/VFbyDCG_j18?feature=shared""}]",notesUpload,[],,2025-08-08T02:04:25.737000+00:00
6NG8ubpafdqSEmynuvAY,Remote Sensing,Greenhouse Gasses,25,Climate,4,10,[],"This module covers the greenhouse effect and information about greenhouse gasses, including the types, distribution & concentration, and global warming potential ","[""What is the greenhouse effect"", ""What are the major greenhouse gasses and how are they produced"", ""What makes a greenhouse gas have a large global warming potential (GWP) and what is the GWP of the major greenhouse gasses? "", ""Learning to interpret graphs and tables concerning greenhouse gasses ""]","[{""description"": ""Describes and includes a brief video on the greenhouse effect"", ""type"": ""video"", ""title"": ""Greenhouse Effect"", ""url"": ""https://science.nasa.gov/climate-change/faq/what-is-the-greenhouse-effect/""}, {""description"": ""Provides descriptions of each type of greenhouse gas and their recent emissions. "", ""type"": ""reading"", ""title"": ""Greenhouse gasses types "", ""url"": ""https://www.epa.gov/ghgemissions/overview-greenhouse-gases""}, {""description"": ""Defines global warming potentials and the GWP of each greenhouse gas "", ""type"": ""reading"", ""title"": ""Global Warming Potential "", ""url"": ""https://www.epa.gov/ghgemissions/understanding-global-warming-potentials""}]",notesUpload,[],,2025-07-30T19:21:31.559000+00:00
7HLLQ3JwV0s2a23AZdkj,Designer Genes,Molecular Consequences of Mutations,10 min,Unit 3,7,5,[],Quick overview of different types of mutations,"[""Different mutations and how they're caused""]","[{""title"": ""Module 7 Doc"", ""type"": ""reading"", ""description"": ""Gives notes and tasks"", ""url"": ""https://docs.google.com/document/d/1LYQrPxtPBV1zHjjh64-RF7SzDOszo4HFpU7UQEb3Ybg/edit?tab=t.0""}]",problems,"[""What are different ways to classify mutations?"", ""How can mutations in nucleotide bases be potentially beneficial, harmful, or have no effect?""]",,2025-07-19T02:55:39.093000+00:00
